"experiment","description","EFOType","EFOValue"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13319>","Transcription profiling of human and rat uterine leiomyoma: identification of a dysregulated mTOR pathway","disease","leiomyoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13319>","Transcription profiling of human and rat uterine leiomyoma: identification of a dysregulated mTOR pathway","organism part","myometrium"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13319>","Transcription profiling of human and rat uterine leiomyoma: identification of a dysregulated mTOR pathway","organism part","leiomyoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13319>","Transcription profiling of human and rat uterine leiomyoma: identification of a dysregulated mTOR pathway","organism","Rattus norvegicus"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13319>","Transcription profiling of human and rat uterine leiomyoma: identification of a dysregulated mTOR pathway","disease","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","organism part","peripheral blood"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","sex","female"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","cell type","mononuclear"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","ethnicity","White"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","developmental stage","childhood"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","disease","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LNH_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01J40_Oligo"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","disease","juvenile idiopathic arthritis subtype oligoarthritis"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LSC_Oligo"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","disease","juvenile idiopathic arthritis subtype enthesitis related arthritis"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","sex","male"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LL3_ERA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01VKE_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01N1B_ERA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LMX_Oligo"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01UNS_Oligo"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LNX_Oligo"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","disease","juvenile idiopathic arthritis subtype rheumatoid factor polyarthritis"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LNS_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LPP_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01MLT_Oligo"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01VKN_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","061HZ_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","disease","juvenile idiopathic arthritis subtype systemic"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01MKV_Systemic"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LQQ_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01L4M_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LQT_Oligo"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LM6_Systemic"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","ethnicity","Black/African American"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01N41_ERA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LKM_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01VKL_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01VKJ_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","ethnicity","UK"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01N6Z_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01VLQ_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01N3C_Systemic"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LS8_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01VKK_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01N3X_ERA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01UNK_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01UNY_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01UPD_ERA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01UNP_Systemic"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LKZ_ERA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01N1J_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01MJU_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01ML0_Oligo"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01J43_Systemic"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01N3M_Systemic"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LN4_Oligo"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LR3_ERA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LN0_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LQH_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LLC_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01VCM_Oligo"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01N4C_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01L4N_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01UMY_PolyRF-"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01N70_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01LLX_CTRL"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01MLB_Systemic"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13501>","Transcription profiling of peripheral blood from juvenile idiopathic arthritis (JIA) patients and healthy children","individual","01N3H_ERA"
